ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weatherconditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken(min),delivery_time_mins,weather_clean,is_late,distance_km,traffic_factor,weather_factor,speed_kmmin,seg_idx,tempo_estimado,dist_norm,adverso_norm
0xb379,BANGRES18DEL02,34,4.5,12.913041,77.683237,13.043041,77.813237,25/03/22,19:45:00,19:50:00,conditions Stormy,Jam,2,Snack,scooter,1,No,Metropolitian,(min) 33,33,Stormy,1,20.18,2.0,1.6,0.6115151515151515,0,163.5847018157702,1.0,1.0
0x5d6d,BANGRES19DEL01,23,4.4,12.914264,77.6784,12.924264,77.6884,19/03/22,8:30:00,8:45:00,conditions Sandstorms,Low,0,Drinks,motorcycle,1,No,Urban,(min) 26,26,Sandstorms,0,1.55,1.0,1.5,0.05961538461538462,4,5.889718033350869,0.0,0.22727272727272727
0x2288,BANGRES09DEL03,32,4.0,12.934179,77.615797,13.024179,77.705797,16/03/22,21:20:00,21:35:00,conditions Windy,Jam,0,Buffet,motorcycle,1,No,Metropolitian,(min) 47,47,Windy,1,13.97,2.0,1.2,0.2972340425531915,3,84.93353385900555,0.6666666666666667,0.6363636363636362
0x9d26,BANGRES17DEL02,26,4.9,12.972532,77.608179,12.992532,77.628179,28/03/22,8:40:00,8:55:00,conditions Stormy,Low,2,Buffet,scooter,0,No,Metropolitian,(min) 11,11,Stormy,0,3.11,1.0,1.6,0.2827272727272727,0,12.605263197399537,0.08373590982286634,0.27272727272727276
0x9b18,BANGRES17DEL01,22,4.8,12.972532,77.608179,13.042532,77.678179,18/03/22,23:00:00,23:10:00,conditions Fog,Low,1,Snack,motorcycle,1,No,Metropolitian,(min) 28,28,Fog,0,10.87,1.0,1.4,0.3882142857142857,3,38.55042108883162,0.5002683843263553,0.18181818181818177
0x63b6,BANGRES05DEL03,27,4.9,12.970324,77.645748,13.030324,77.705748,19/03/22,19:00:00,19:15:00,conditions Windy,Medium,1,Drinks,scooter,1,No,Metropolitian,(min) 25,25,Windy,0,9.32,1.3,1.2,0.3728,0,36.830876744298905,0.4170692431561997,0.2545454545454546
0x25fd,BANGRES19DEL01,31,4.8,12.914264,77.6784,13.024264,77.7884,25/03/22,22:45:00,22:55:00,conditions Stormy,Low,2,Drinks,scooter,1,No,Metropolitian,(min) 23,23,Stormy,0,17.08,1.0,1.6,0.7426086956521738,0,69.22761910340323,0.8336017176596886,0.27272727272727276
0x633c,BANGRES010DEL03,39,4.6,12.933298,77.614293,13.023298,77.704293,29/03/22,20:50:00,21:00:00,conditions Fog,Jam,1,Drinks,scooter,2,No,Metropolitian,(min) 44,44,Fog,1,13.97,2.0,1.4,0.3175,0,99.08912283550647,0.6666666666666667,0.818181818181818
0x903a,BANGRES11DEL01,27,4.7,12.934365,77.616155,13.044365,77.726155,10/03/22,21:00:00,21:15:00,conditions Cloudy,Jam,2,Snack,scooter,1,No,Metropolitian,(min) 42,42,Cloudy,1,17.08,2.0,1.1,0.4066666666666666,0,95.18797626717945,0.8336017176596886,0.5454545454545455
0x1d60,BANGRES12DEL01,24,5.0,12.939496,77.625999,12.949496,77.635999,01/03/22,10:50:00,10:55:00,conditions Fog,Low,0,Drinks,motorcycle,1,No,Metropolitian,(min) 23,23,Fog,0,1.55,1.0,1.4,0.06739130434782609,3,5.49707016446081,0.0,0.18181818181818177
